FOLDER	AUTHOR	RECALL	F1	TOTALEDGES	REMOVEDEDGES	MARK
4938	0DF69D70	0.97	0.9151	29	1	a
4113	018BDF6F	0.9485	0.2275	67	4	b
4369	04BCD5EA	0.7987	0.5913	85	3	b
4559	15F8A908	0.9521	0.371	70	3	b
4161	1962C8FB	0.8904	0.2199	110	4	b
4298	16A257D2	0.9844	0.863	21	1	a
4347	156CA65E	0.9615	0.5181	21	2	a
4713	00A43429	0.8654	0.2688	146	5	c
4492	02DA47CC	0.8676	0.5813	20	2	a
4953	18890E29	0.9483	0.5081	42	2	a
4718	156ED3AB	0.9277	0.205	124	6	c
4921	005BB5B6	0.913	0.896	53	1	a
4915	185489A6	0.8889	0.5805	42	2	a
4360	0F1106FD	0.9153	0.6163	64	2	a
4605	0CAAA3A3	0.9861	0.3272	25	4	b
4758	021B7263	0.9286	0.3176	49	3	b
4473	0FEF766B	0.8105	0.4353	106	3	b
4590	11E32CAE	0.9268	0.294	60	4	b
4698	16A31805	0.95	0.4211	40	2	a
4316	11E49C63	0.9352	0.4148	50	2	a
4920	173FE950	0.8	0.5899	22	2	a
4409	10D73A79	0.9875	0.3141	38	3	b
4623	19C8E072	0.8125	0.8814	25	1	a
4469	18EE0AC9	0.8864	0.8667	14	1	a
4402	0E1D1DDC	0.9519	0.3694	76	3	b
4967	1A076072	0.9844	0.5283	46	2	a
4855	151DC069	0.95	0.8941	14	1	a
4959	14FF3154	0.9762	0.4896	35	2	a
4387	16C8EDDE	0.9706	0.4567	30	2	a
4416	10A982C8	0.9531	0.4535	55	3	b
4844	0F18029E	1.0	0.6356	63	1	a
4778	052A0029	0.97	0.1658	58	5	c
4556	178274C8	0.9583	0.7449	39	1	a
4388	00A29794	0.9405	0.396	29	3	b
4198	19D45DF4	0.8269	0.8912	29	1	a
4529	17DDF4DF	0.9565	0.6175	26	2	a
4664	0F984244	0.8523	0.5747	26	2	a
4961	11891547	0.9808	0.7612	21	1	a
4131	13C2F3E8	0.8824	0.8392	21	1	a
4272	17C5CC8B	0.95	0.8539	13	1	a
4168	0E6CA7DE	0.9615	0.4831	22	2	a
4829	17E2F48F	0.9	0.8372	13	1	a
4515	15AB8687	0.9474	0.3861	41	3	b
4830	0C80286D	0.9583	0.7667	19	1	a
4949	117584F8	0.775	0.8378	11	1	a
4769	1974B44D	0.95	0.7835	15	1	a
4607	0207C75C	0.9231	0.8649	16	1	a
4384	1919E6AF	0.9375	0.8036	18	1	a
4694	11FDAB7C	0.8397	0.3764	104	3	b
4756	12C8724B	0.9545	0.8317	15	1	a
4912	10B12BF4	0.8516	0.5228	42	2	a
4219	0CBFDEFC	0.9821	0.9322	16	1	a
4366	0E7FCF47	0.9778	0.3229	60	4	b
4940	16300138	0.9167	0.5466	16	2	a
4464	1861B174	0.9853	0.4735	28	2	a
4929	1875FCD6	0.925	0.8362	28	1	a
4701	16FD4293	0.8793	0.8608	34	1	a
5000	11545F99	0.8056	0.2944	26	4	b
4970	02DCBEDD	0.9091	0.6926	38	1	a
4349	062C11C6	0.9375	0.6073	23	2	a
4692	0F643A4A	0.9559	0.8784	22	1	a
